FISHERIES_WATERBODY_ID,LAKE_NAME,ALT_LAKE_NAME,DOW_NBR_PRIMARY,DOW_SUB_BASIN_NBR_PRIMARY,FETCH_ORIENTATION_DEGREES,LAKE_AREA_DOW_ACRES,LAKE_AREA_GIS_ACRES,LAKE_AREA_MN_ACRES,LAKE_AREA_PLANIMETERED_ACRES,LAKE_CENTER_LAT_DD5,LAKE_CENTER_LONG_DD5,LAKE_CENTER_UTM_EASTING,LAKE_CENTER_UTM_NORTHING,LAKE_CLASS_ID_PRIMARY,LAKE_CLASS_ID_ALTERNATE,LARGE_LAKE_FLAG,LITTORAL_AREA_ACRES,MAX_DEPTH_FEET,MAX_FETCH_MILES,MEAN_DEPTH_FEET,PLS_SECTION_ID_LAKE_CENTER,SHORE_LENGTH_MILES,UTM_DATUM_ID,UTM_ZONE_ID,WATERSHED_MINOR_ID
"16,495",Unnamed,,580214.0,0.0,,154.0,32,32,,46.0178,-92.67692,"525,023","5,095,883",,,N,0.0,,,,"4,101,819",2.0,83.0,15.0,"34,008"
"16,496",Unnamed,Twin Lakes,580227.0,0.0,,10.0,8,8,,46.30828,-92.8751,"509,617","5,128,309",,,N,0.0,,,,"4,402,009",1.0,83.0,15.0,"35,051"
"16,497",Unnamed,,600026.0,0.0,,81.0,79,79,,47.6325,-95.62833,"302,557","5,278,802",,,N,0.0,,,,"14,803,916",3.0,83.0,15.0,"66,014"
"16,498",Perch,,600029.0,0.0,,153.0,139,139,,47.62701,-95.64238,"301,480","5,278,228",,,N,0.0,,,,"14,803,920",3.0,83.0,15.0,"66,075"
"16,499",Groove,,600038.0,0.0,,71.0,67,67,,47.62681,-95.56889,"307,000","5,278,020",,,N,0.0,,,,"14,803,924",2.0,83.0,15.0,"66,014"
"16,500",Unnamed,,600040.0,0.0,,23.0,30,30,,47.61632,-95.57315,"306,641","5,276,865",,,N,0.0,,,,"14,803,925",1.0,83.0,15.0,"66,014"
"16,501",Unnamed,,600041.0,0.0,,33.0,27,27,,47.61363,-95.5855,"305,703","5,276,597",,,N,0.0,,,,"14,803,926",1.0,83.0,15.0,"66,014"
"16,502",Unnamed,,600057.0,0.0,,12.0,9,9,,47.71709,-95.6749,"299,416","5,288,356",,,N,0.0,,,,"14,903,917",1.0,83.0,15.0,"66,086"
"16,503",Unnamed,,600058.0,0.0,,42.0,28,28,,47.71972,-95.66919,"299,821","5,288,600",,,N,0.0,,,,"14,903,917",1.0,83.0,15.0,"66,086"
"16,504",Unnamed,,600063.0,0.0,,16.0,11,11,,47.71527,-95.64153,"301,879","5,288,034",,,N,0.0,,,,"14,903,922",1.0,83.0,15.0,"66,071"
"16,505",Unnamed,,600087.0,0.0,,41.0,15,15,,47.54172,-95.78156,"290,747","5,269,256",,,N,0.0,,,,"14,704,020",1.0,83.0,15.0,"61,003"
"16,506",Unnamed,,600097.0,0.0,,62.0,24,24,,47.67231,-95.75249,"293,387","5,283,550",,,N,0.0,,,,"14,804,004",1.0,83.0,15.0,"66,074"
"16,507",Unnamed,,600114.0,0.0,,25.0,22,22,,47.60284,-95.6975,"297,246","5,275,685",,,N,0.0,,,,"14,804,025",1.0,83.0,15.0,"66,078"
"16,508",Unnamed,,600126.0,0.0,,46.0,46,46,,47.72376,-95.72457,"295,684","5,289,194",,,N,0.0,,,,"14,904,013",3.0,83.0,15.0,"66,070"
"16,509",Unnamed,,600128.0,0.0,,30.0,33,33,,47.72364,-95.74068,"294,501","5,289,126",,,N,0.0,,,,"14,904,014",2.0,83.0,15.0,"66,070"
"16,510",Unnamed,,600140.0,0.0,,10.0,12,12,,47.70175,-95.80544,"289,531","5,286,965",,,N,0.0,,,,"14,904,029",1.0,83.0,15.0,"66,073"
"16,511",Unnamed,,600169.0,0.0,,61.0,74,74,,47.7259,-95.89885,"282,625","5,289,907",,,N,0.0,,,,"14,904,115",2.0,83.0,15.0,"66,059"
"16,512",Unnamed,,600197.0,0.0,,40.0,30,30,,47.65378,-95.98277,"275,876","5,281,797",,,N,0.0,,,,"14,804,210",2.0,83.0,15.0,"66,079"
"16,513",Unnamed,,600204.0,0.0,,37.0,27,27,,47.61713,-95.97136,"276,724","5,278,025",,,N,0.0,,,,"14,804,223",1.0,83.0,15.0,"66,079"
"16,514",Unnamed,,600216.0,0.0,,57.0,31,31,,47.57577,-96.06916,"269,193","5,273,716",,,N,0.0,,,,"14,704,206",1.0,83.0,15.0,"61,049"
"16,515",Unnamed,,600221.0,0.0,,133.0,98,98,,47.57409,-96.09986,"267,182","5,273,808",,,N,0.0,,,,"14,704,302",4.0,83.0,15.0,"61,049"
"16,516",Unnamed,,600249.0,0.0,,17.0,21,21,,47.6581,-96.09484,"267,628","5,282,942",,,N,0.0,,,,"14,804,302",1.0,83.0,15.0,"66,080"
"16,517",Unnamed,,600267.0,0.0,,105.0,88,88,,47.62753,-96.16021,"262,581","5,279,743",,,N,0.0,,,,"14,804,320",2.0,83.0,15.0,"66,081"
"16,518",Unnamed,,600269.0,0.0,,18.0,17,17,,47.62332,-96.17086,"261,762","5,279,308",,,N,0.0,,,,"14,804,320",1.0,83.0,15.0,"61,023"
"16,519",Unnamed,,600275.0,0.0,,59.0,47,47,,47.62314,-96.08553,"268,173","5,279,029",,,N,0.0,,,,"14,804,324",2.0,83.0,15.0,"66,080"
"16,520",Johnson,,600278.0,0.0,,44.0,33,33,,47.6046,-96.10945,"266,372","5,276,895",,,N,0.0,,,,"14,804,326",2.0,83.0,15.0,"61,049"
"16,521",Unnamed,,600300.0,0.0,,55.0,62,62,,47.68244,-96.11703,"266,071","5,285,713",,,N,0.0,,,,"14,904,335",2.0,83.0,15.0,"66,081"
